Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image,Source,Statut_Reel
Arrondissement d'Aïn Sebaâ,Carrefour,Supermarché,Formel,Carrefour,33.607527,-7.5368732,icons/supermarket.png,OSM,Formel
Arrondissement d'Aïn Sebaâ,Carrefour Market,Supermarché,Formel,Carrefour Market,33.6021269,-7.5265618,icons/supermarket.png,OSM,Formel
Gauthier,Carrefour Market,Supermarché,Formel,Rue Taha Houcine زنقة طه حسين,33.5897236,-7.6297373,icons/supermarket.png,OSM,Formel
Arrondissement d'Aïn Sebaâ,Carrefour,Supermarché,Formel,Carrefour,33.5987457,-7.5751282,icons/supermarket.png,OSM,Formel
Préfecture d'arrondissement de Hay Hassani,Carrefour Market,Supermarché,Formel,Carrefour Market,33.5379265,-7.680443,icons/supermarket.png,OSM,Formel
Berger,Carrefour,Supermarché,Formel,Carrefour,33.5737578,-7.6446216,icons/supermarket.png,OSM,Formel
Arrondissement d'Aïn-Chock,Carrefour Market,Supermarché,Formel,Carrefour Market,33.531131,-7.6226294,icons/supermarket.png,OSM,Formel
راسين,Carrefour Express,Supérette / Mini-market,Formel,Rue Ahmed El Mokri زنقة أحمد المقري,33.5911972,-7.6388189,icons/convenience.png,OSM,Formel
Beauséjour,Carrefour Market,Supermarché,Formel,Rue Al Banafsaj زنقة البنفسج,33.5667786,-7.6514343,icons/supermarket.png,OSM,Formel
Sidi Maârouf,Carrefour,Supermarché,Formel,Carrefour,33.5354196,-7.6419162,icons/supermarket.png,OSM,Formel
Préfecture d'arrondissement de Hay Hassani,Carrefour d'Azbane,Supermarché,Formel,Carrefour d'Azbane,33.5375122,-7.6636622,icons/supermarket.png,OSM,Formel
Préfecture d'arrondissement de Hay Hassani,Carrefour d'Azbane,Supermarché,Formel,Carrefour d'Azbane,33.5378775,-7.6630145,icons/supermarket.png,OSM,Formel
Préfecture d'arrondissement de Hay Hassani,Carrefour d'Azbane,Supermarché,Formel,Carrefour d'Azbane,33.5376046,-7.6637789,icons/supermarket.png,OSM,Formel
Préfecture d'arrondissement de Hay Hassani,Carrefour d'Azbane,Supermarché,Formel,Carrefour d'Azbane,33.5383281,-7.6624972,icons/supermarket.png,OSM,Formel
Préfecture d'arrondissement de Hay Hassani,Carrefour d'Azbane,Supermarché,Formel,Carrefour d'Azbane,33.5380952,-7.6632303,icons/supermarket.png,OSM,Formel
Arrondissement d'Aïn-Chock,Carrefour,Supermarché,Formel,Carrefour,33.5290416,-7.5930685,icons/supermarket.png,OSM,Formel
Al Fida,Marjane Drissia M6,Supermarché,Formel,Marjane Drissia M6,33.5618694,-7.5946468,icons/supermarket.png,OSM,Formel
Californie,Marjane,Supermarché,Formel,Marjane,33.5446703,-7.639958,icons/supermarket.png,OSM,Formel
Arrondissement d'Aïn Sebaâ,Marjane Aïn Sbaâ,Supermarché,Formel,Marjane Aïn Sbaâ,33.5958294,-7.5301296,icons/supermarket.png,OSM,Formel
Arrondissement d'Anfa,Marjane,Supermarché,Formel,Marjane,33.5746919,-7.7081046,icons/supermarket.png,OSM,Formel
Val d'Anfa,Marjane Market,Supermarché,Formel,Boulevard de Bourgogne شارع بوركون,33.594818,-7.6515874,icons/supermarket.png,OSM,Formel
Arrondissement d'Aïn Sebaâ,Marjane,Supermarché,Formel,Marjane,33.595682,-7.531687,icons/supermarket.png,OSM,Formel
Arrondissement d'Aïn Sebaâ,Pharmacie Marjane Ain Sebaa,Supermarché,Formel,Centre Commercial Marjane Ain Sebaa,33.5962524,-7.5321201,icons/supermarket.png,OSM,Formel
Les Princesses,Marjane Market,Supermarché,Formel,Boulevard Ghandi شارع غاندي,33.5743416,-7.65024,icons/supermarket.png,OSM,Formel
Arrondissement d'Aïn Sebaâ,Marjane Aïn Sbaâ,Supermarché,Formel,Marjane Aïn Sbaâ,33.5957237,-7.5302589,icons/supermarket.png,OSM,Formel
Arrondissement d'Al Fida,Marjane Drissia,Supermarché,Formel,Marjane Drissia,33.5627041,-7.5940106,icons/supermarket.png,OSM,Formel
Arrondissement d'Al Fida,Marjane Drissia,Supermarché,Formel,Marjane Drissia,33.5629532,-7.5939177,icons/supermarket.png,OSM,Formel
Al Fida,Marjane Drissia M6,Supermarché,Formel,Marjane Drissia M6,33.561581,-7.5948997,icons/supermarket.png,OSM,Formel
El Oulfa,Marjane Hay Hassani,Supermarché,Formel,Marjane Hay Hassani,33.5657963,-7.6765505,icons/supermarket.png,OSM,Formel
Ancienne Medina,Marjane,Supermarché,Formel,Boulevard Rahal El Meskini,33.5879069,-7.6125249,icons/supermarket.png,OSM,Formel
Ancienne Medina,Marjane,Supermarché,Formel,Boulevard Mohamed Smiha,33.59444,-7.6086746,icons/supermarket.png,OSM,Formel
Arrondissement d'Aïn-Chock,Marjane,Supermarché,Formel,Marjane,33.5130223,-7.6593739,icons/supermarket.png,OSM,Formel
Arrondissement d'Al Fida,interieur marjane drissia cote autoroute,Supermarché,Formel,interieur marjane drissia cote autoroute,33.5606342,-7.5934651,icons/supermarket.png,OSM,Formel
Arrondissement d'Al Fida,Bd touria chaoui derriere marjane drissia devant residence fal anour,Supermarché,Formel,Bd touria chaoui derriere marjane drissia devant residence fal anour,33.5619618,-7.5922072,icons/supermarket.png,OSM,Formel
Arrondissement d'Al Fida,Derriere marjane drissia enface centre العمل الاجتماعي النسوي,Supermarché,Formel,Derriere marjane drissia enface centre العمل الاجتماعي النسوي,33.5627218,-7.5931433,icons/supermarket.png,OSM,Formel
Arrondissement d'Al Fida,Derriere marjane drissia a cite de porte de chargement,Supermarché,Formel,Derriere marjane drissia a cite de porte de chargement,33.5623217,-7.5927812,icons/supermarket.png,OSM,Formel
Al Fida,Souk des bois Bd med vi enface electroplanete marjane drissia,Supermarché,Formel,Souk des bois Bd med vi enface electroplanete marjane drissia,33.5610432,-7.5948465,icons/supermarket.png,OSM,Formel
Arrondissement d'Al Fida,Rue 30 angle rue 28 hay drissia2 cote marjane,Supermarché,Formel,Rue 30 angle rue 28 hay drissia2 cote marjane,33.5629341,-7.5912872,icons/supermarket.png,OSM,Formel
Arrondissement d'Al Fida,Bd bouchaib doukali angle bd led 6 enface porte principale marjane,Supermarché,Formel,Bd bouchaib doukali angle bd led 6 enface porte principale marjane,33.5626011,-7.5945568,icons/supermarket.png,OSM,Formel
Bouskoura,Marjane,Supermarché,Formel,Marjane,33.4753036,-7.6069947,icons/supermarket.png,OSM,Formel
Beauséjour,Marjane Market مرجان ماركت,Supermarché,Formel,Boulevard Sidi Abderrahmane شارع سيدي عبد الرحمان,33.566764,-7.6559254,icons/supermarket.png,OSM,Formel
Arrondissement de Sidi Othmane,Sidi Othmane - Marjane,Supermarché,Formel,Sidi Othmane - Marjane,33.5608884,-7.5615566,icons/supermarket.png,OSM,Formel
Arrondissement de Sidi Othmane,Sidi Othmane - Marjane,Supermarché,Formel,Sidi Othmane - Marjane,33.5607332,-7.5614891,icons/supermarket.png,OSM,Formel
Assoukhour Assawda,Marjane,Supermarché,Formel,Boulevard Ibn Tachfine,33.5859021,-7.5930568,icons/supermarket.png,OSM,Formel
Préfecture d'arrondissement de Hay Hassani,Marjane,Supermarché,Formel,Marjane,33.5632914,-7.6637711,icons/supermarket.png,OSM,Formel
Arrondissement d'Aïn-Chock,Marjane Californie,Supermarché,Formel,Marjane Californie,33.544542,-7.6423514,icons/supermarket.png,OSM,Formel
Arrondissement d'Aïn-Chock,Marjane Californie,Supermarché,Formel,Marjane Californie,33.5446148,-7.6419546,icons/supermarket.png,OSM,Formel
Maârif Extension,Marjane,Supermarché,Formel,Rue Al Fourate زنقة الفرات,33.58076,-7.6415292,icons/supermarket.png,OSM,Formel
Palmiers,Marjane,Supermarché,Formel,Marjane,33.5785138,-7.6243943,icons/supermarket.png,OSM,Formel
Anfa Supérieur,Rue Al Marjane,Supermarché,Formel,Rue Al Marjane,33.597159,-7.6626748,icons/supermarket.png,OSM,Formel
Arrondissement d'Al Fida,Marjane,Supermarché,Formel,Marjane,33.5616025,-7.5935293,icons/supermarket.png,OSM,Formel
Arrondissement de Sidi Othmane,Marjane,Supermarché,Formel,Marjane,33.5602836,-7.5614755,icons/supermarket.png,OSM,Formel
Arrondissement de Sidi Othmane,Marjane Sidi Othmane,Supermarché,Formel,Marjane Sidi Othmane,33.5459358,-7.5495858,icons/supermarket.png,OSM,Formel
راسين,Résidence Marjane إقامة مرجان,Supermarché,Formel,Rue Ibnou Yaala Al Ifrani زنقة إبن يلعى الإفراني,33.5879624,-7.640294,icons/supermarket.png,OSM,Formel
El Oulfa,Marjane,Supermarché,Formel,Marjane,33.5662976,-7.6760715,icons/supermarket.png,OSM,Formel
Assoukhour Assawda,L139 Marjane Aïn Sbaâ - Hôpital Sofi,Supermarché,Formel,L139 Marjane Aïn Sbaâ - Hôpital Sofi,33.5970845,-7.5815519,icons/supermarket.png,OSM,Formel
Assoukhour Assawda,L139 Hôpital Sofi - Marjane Aïn Sbaâ,Supermarché,Formel,L139 Hôpital Sofi - Marjane Aïn Sbaâ,33.5970534,-7.5816907,icons/supermarket.png,OSM,Formel
Arrondissement d'Al Fida,McDonald's,Restaurant,Formel,Boulevard Mohamed VI,33.5623474,-7.5941062,icons/restaurant.png,OSM,Formel
Les Hôpitaux,McDonald's,Restaurant,Formel,Avenue 2 Mars,33.5759477,-7.6153091,icons/restaurant.png,OSM,Formel
Ancienne Medina,McDonald's,Restaurant,Formel,Avenue Mers Sultan,33.5881192,-7.6175943,icons/restaurant.png,OSM,Formel
Assoukhour Assawda,McDonald's,Restaurant,Formel,McDonald's,33.5858757,-7.5928149,icons/restaurant.png,OSM,Formel
Maârif,KFC,Restaurant,Formel,Rue El Kadi Iass زنقة القاضي إياس,33.5861117,-7.6368073,icons/restaurant.png,OSM,Formel
Ancienne Medina,KFC,Restaurant,Formel,KFC,33.595602,-7.6174129,icons/restaurant.png,OSM,Formel
Gauthier,KFC,Restaurant,Formel,KFC,33.5928524,-7.6318233,icons/restaurant.png,OSM,Formel
Les Hôpitaux,KFC,Restaurant,Formel,Avenue 2 Mars,33.5753667,-7.6156108,icons/restaurant.png,OSM,Formel
Arrondissement d'Anfa,KFC,Restaurant,Formel,KFC,33.5764438,-7.7065764,icons/restaurant.png,OSM,Formel
Ain Diab,KFC,Restaurant,Formel,KFC,33.5873876,-7.6850644,icons/restaurant.png,OSM,Formel
Arrondissement de Mers Sultan,Carrefour Centre Ville,Supermarché,Formel,"Avenue Centre Ville, Casablanca",33.5731,-7.5898,icons/supermarket.png,ATP,Formel
Anfa Supérieur,Carrefour Ain Diab,Supermarché,Formel,"Avenue Ain Diab, Casablanca",33.5981,-7.6644,icons/supermarket.png,ATP,Formel
راسين,Carrefour Maarif,Supermarché,Formel,"Avenue Maarif, Casablanca",33.5908,-7.6462,icons/supermarket.png,ATP,Formel
L'Oasis,Marjane Derb Ghallef,Supermarché,Formel,"Avenue Derb Ghallef, Casablanca",33.5625,-7.6331,icons/supermarket.png,ATP,Formel
El Oulfa,Marjane California,Supermarché,Formel,"Avenue California, Casablanca",33.5456,-7.6789,icons/supermarket.png,ATP,Formel
Arrondissement de Sidi Belyout,Marjane Racine,Supermarché,Formel,"Avenue Racine, Casablanca",33.6012,-7.6123,icons/supermarket.png,ATP,Formel
Les Hôpitaux,BIM Centre,Supérette / Mini-market,Formel,"Avenue Centre, Casablanca",33.5723,-7.6234,icons/convenience.png,ATP,Formel
Les Princesses,BIM Hay Hassani,Supérette / Mini-market,Formel,"Avenue Hay Hassani, Casablanca",33.5834,-7.6456,icons/convenience.png,ATP,Formel
El Oulfa,BIM Sidi Bernoussi,Supérette / Mini-market,Formel,"Avenue Sidi Bernoussi, Casablanca",33.5612,-7.6789,icons/convenience.png,ATP,Formel
Arrondissement de Mers Sultan,McDonald's Mers Sultan,Restaurant,Formel,"Avenue Mers Sultan, Casablanca",33.5831,-7.608,icons/restaurant.png,ATP,Formel
Sour Jdid,McDonald's Sour Jdid,Restaurant,Formel,"Avenue Sour Jdid, Casablanca",33.5971,-7.6294,icons/restaurant.png,ATP,Formel
Maârif Extension,McDonald's Maarif,Restaurant,Formel,"Avenue Maarif, Casablanca",33.5802,-7.6409,icons/restaurant.png,ATP,Formel
Berger,KFC Berger,Restaurant,Formel,"Avenue Berger, Casablanca",33.5738,-7.6446,icons/restaurant.png,ATP,Formel
Ain Diab,KFC Ain Diab,Restaurant,Formel,"Avenue Ain Diab, Casablanca",33.5771,-7.6741,icons/restaurant.png,ATP,Formel
Les Hôpitaux,KFC Les Hôpitaux,Restaurant,Formel,"Avenue Les Hôpitaux, Casablanca",33.573,-7.6198,icons/restaurant.png,ATP,Formel
Arrondissement d'Aïn-Chock,Paul Casablanca Centre,Boulangerie,Formel,"Centre Commercial, Casablanca",33.55309999999999,-7.6098,icons/bakery.png,ATP,Formel
Arrondissement d'Al Fida,Brioche Dorée Casablanca Centre,Boulangerie,Formel,"Centre Commercial, Casablanca",33.56309999999999,-7.6018,icons/bakery.png,ATP,Formel
Mers Sultan,Domino's Pizza Casablanca Centre,Restaurant,Formel,"Centre Commercial, Casablanca",33.5731,-7.5938,icons/restaurant.png,ATP,Formel
Assoukhour Assawda,Starbucks Casablanca Centre,Café,Formel,"Centre Commercial, Casablanca",33.583099999999995,-7.5858,icons/cafe.png,ATP,Formel
Arrondissement de Hay Mohammadi,Subway Casablanca Centre,Restaurant,Formel,"Centre Commercial, Casablanca",33.59309999999999,-7.5778,icons/restaurant.png,ATP,Formel
Arrondissement d'Aïn Sebaâ,Pizza Hut Casablanca Centre,Restaurant,Formel,"Centre Commercial, Casablanca",33.60309999999999,-7.5698,icons/restaurant.png,ATP,Formel
