Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image
Arrondissement d'Aïn-Chock,Pharmacie Aman,Parapharmacie,Formel,Rue 17,33.5359704,-7.5770339,icons/pharmacy.png
Arrondissement d'Aïn-Chock,Pharmacie Goumri,Parapharmacie,Formel,Boulevard Tah,33.5337089,-7.580665,icons/pharmacy.png
Arrondissement d'Aïn-Chock,Parapharmacie sans nom,Parapharmacie,Formel,Avenue 2 Mars,33.5506674,-7.6024586,icons/pharmacy.png
Arrondissement d'Aïn-Chock,Café La Source,Café,Formel,Avenue 2 Mars,33.5478561,-7.6020569,icons/cafe.png
Arrondissement d'Aïn-Chock,Parapharmacie sans nom,Parapharmacie,Formel,Avenue 2 Mars,33.5479547,-7.602067,icons/pharmacy.png
Arrondissement d'Aïn-Chock,Café Syntia,Café,Formel,Avenue 2 Mars,33.5461983,-7.6020982,icons/cafe.png
Arrondissement d'Aïn-Chock,El Baouraoui Café,Café,Formel,Avenue 2 Mars,33.5462575,-7.6021096,icons/cafe.png
Arrondissement d'Aïn-Chock,Palais Amira,Café,Formel,Avenue 2 Mars,33.5355652,-7.5957638,icons/cafe.png
Arrondissement d'Aïn-Chock,Parapharmacie sans nom,Parapharmacie,Formel,Boulevard Tah,33.5313949,-7.5890227,icons/pharmacy.png
Arrondissement d'Aïn-Chock,Ixia,Café,Formel,Rue 13,33.539469,-7.5791851,icons/cafe.png
Arrondissement d'Aïn-Chock,Crèmerie Achkid,Restaurant,Formel,Boulevard d'Amgala,33.5406446,-7.5801185,icons/restaurant.png
Arrondissement d'Aïn-Chock,Parapharmacie sans nom,Parapharmacie,Formel,Rue 10,33.5362787,-7.5773883,icons/pharmacy.png
Gauthier,Kamar lebnan,Restaurant,Formel,Rue Théophile Gauthier,33.5881278,-7.6310701,icons/restaurant.png
Gauthier,Café sans nom,Café,Formel,Rue Sebou,33.5891426,-7.6317809,icons/cafe.png
Arrondissement d'Aïn-Chock,Pharmacie Chaab,Parapharmacie,Formel,Pharmacie Chaab,33.5409727,-7.5877997,icons/pharmacy.png
Arrondissement d'Aïn-Chock,Pharmacie Khouloud,Parapharmacie,Formel,Zanqat 68,33.5395648,-7.5869025,icons/pharmacy.png
Arrondissement d'Aïn-Chock,Cafe Rosage,Café,Formel,Rue 194,33.5423571,-7.5856224,icons/cafe.png
Arrondissement d'Aïn-Chock,Skybury Café,Café,Formel,Boulevard d'Amgala,33.5375745,-7.5853535,icons/cafe.png
Arrondissement d'Aïn-Chock,Espace La Parisien,Café,Formel,Boulevard d'Amgala,33.5369536,-7.5863788,icons/cafe.png
Arrondissement d'Aïn-Chock,Cafe El Osra,Café,Formel,Boulevard d'Amgala,33.5367993,-7.5866456,icons/cafe.png
Arrondissement d'Aïn-Chock,Espace Al Mouatine,Café,Formel,Boulevard de Smara,33.5353707,-7.5861213,icons/cafe.png
Arrondissement d'Aïn-Chock,Espace Palma,Café,Formel,Boulevard de Smara,33.5344037,-7.585955,icons/cafe.png
Arrondissement d'Aïn-Chock,Cafe Di Latorre,Café,Formel,Boulevard d'Amgala,33.5377182,-7.5857055,icons/cafe.png
Arrondissement d'Aïn-Chock,Adana d'or,Café,Formel,Boulevard d'Amgala,33.5381005,-7.5850551,icons/cafe.png
Arrondissement d'Aïn-Chock,Al Turkia,Café,Formel,Boulevard d'Amgala,33.5388293,-7.5838058,icons/cafe.png
Arrondissement d'Al Fida,Pharmacie Moulay Driss,Parapharmacie,Formel,Rue 50,33.5689517,-7.5868213,icons/pharmacy.png
Arrondissement d'Aïn-Chock,Espace Laghlimi,Café,Formel,Espace Laghlimi,33.5409129,-7.5927289,icons/cafe.png
Arrondissement d'Aïn-Chock,Flamengo,Restaurant,Formel,Flamengo,33.5408045,-7.5931285,icons/restaurant.png
Arrondissement d'Aïn-Chock,Espace El Gharbia,Café,Formel,Boulevard d'Amgala,33.5373169,-7.5864244,icons/cafe.png
Arrondissement d'Aïn-Chock,Cafe Al Amal,Café,Formel,Boulevard Tah,33.5324429,-7.5846836,icons/cafe.png
Arrondissement d'Aïn-Chock,Parapharmacie sans nom,Parapharmacie,Formel,Boulevard de Smara,33.53766,-7.5899233,icons/pharmacy.png
Arrondissement d'Aïn-Chock,Pharmacie des Urgences,Parapharmacie,Formel,Rue 1,33.5370027,-7.5858966,icons/pharmacy.png
Arrondissement d'Al Fida,Salon de Thé,Restaurant,Formel,Boulevard Abdellah Senhaji,33.5650026,-7.5882496,icons/restaurant.png
Arrondissement d'Al Fida,Café Imdioune,Restaurant,Formel,Boulevard Bouchaib Doukkali,33.5691305,-7.5839634,icons/restaurant.png
Arrondissement d'Al Fida,Pharmacie Ain Chifaa,Parapharmacie,Formel,Boulevard Bouchaib Doukkali,33.5700395,-7.5825861,icons/pharmacy.png
Arrondissement d'Al Fida,Pharmacie Assia,Parapharmacie,Formel,Rue 42,33.5704256,-7.5916801,icons/pharmacy.png
Arrondissement d'Al Fida,Linati,Restaurant,Formel,Boulevard du Golan,33.5716212,-7.5806791,icons/restaurant.png
